code,name,type,parent_code,city_class
0501601009,Lidong,barangay,0501601000,
0501601010,Mampili,barangay,0501601000,
0501601011,Mandazo,barangay,0501601000,
0501601012,Mangcamagong,barangay,0501601000,
0501601014,Manmuntay,barangay,0501601000,
0501601015,Mantugawe,barangay,0501601000,
0501601016,Matnog,barangay,0501601000,
0501601017,Mocong,barangay,0501601000,
0501601018,Oliva,barangay,0501601000,
0501601019,Pagsangahan,barangay,0501601000,
0501601020,Pinagwarasan,barangay,0501601000,
0501601021,Plaridel,barangay,0501601000,
0501601022,Poblacion 1,barangay,0501601000,
0501601025,San Felipe,barangay,0501601000,
0501601027,San Jose,barangay,0501601000,
0501601028,San Pascual,barangay,0501601000,
0501601030,Taba-taba,barangay,0501601000,
0501601031,Tacad,barangay,0501601000,
0501601032,Taisan,barangay,0501601000,
0501601033,Tuaca,barangay,0501601000,
0501601034,Poblacion 2,barangay,0501601000,
0501602000,Capalonga,municipality,0501600000,
0501602001,Alayao,barangay,0501602000,
0501602002,Binawangan,barangay,0501602000,
0501602003,Calabaca,barangay,0501602000,
0501602004,Camagsaan,barangay,0501602000,
0501602005,Catabaguangan,barangay,0501602000,
0501602006,Catioan,barangay,0501602000,
0501602007,Del Pilar,barangay,0501602000,
0501602008,Itok,barangay,0501602000,
0501602009,Lucbanan,barangay,0501602000,
0501602010,Mabini,barangay,0501602000,
0501602011,Mactang,barangay,0501602000,
0501602012,Mataque,barangay,0501602000,
0501602013,Old Camp,barangay,0501602000,
0501602014,Poblacion,barangay,0501602000,
0501602015,Magsaysay,barangay,0501602000,
0501602016,San Antonio,barangay,0501602000,
0501602017,San Isidro,barangay,0501602000,
0501602018,San Roque,barangay,0501602000,
0501602019,Tanawan,barangay,0501602000,
0501602020,Ubang,barangay,0501602000,
0501602021,Villa Aurora,barangay,0501602000,
0501602022,Villa Belen,barangay,0501602000,
0501603000,Daet,municipality,0501600000,
0501603001,Alawihao,barangay,0501603000,
0501603002,Awitan,barangay,0501603000,
0501603003,Bagasbas,barangay,0501603000,
0501603004,Bibirao,barangay,0501603000,
0501603005,Borabod,barangay,0501603000,
0501603006,Calasgasan,barangay,0501603000,
0501603007,Camambugan,barangay,0501603000,
0501603008,Cobangbang,barangay,0501603000,
0501603012,Dogongan,barangay,0501603000,
0501603013,Gahonon,barangay,0501603000,
0501603014,Gubat,barangay,0501603000,
0501603015,Lag-On,barangay,0501603000,
0501603018,Magang,barangay,0501603000,
0501603019,Mambalite,barangay,0501603000,
0501603021,Mancruz,barangay,0501603000,
0501603023,Pamorangon,barangay,0501603000,
0501603024,Barangay I,barangay,0501603000,
0501603025,Barangay II,barangay,0501603000,
0501603026,Barangay III,barangay,0501603000,
0501603027,Barangay IV,barangay,0501603000,
0501603028,Barangay V,barangay,0501603000,
0501603029,Barangay VI,barangay,0501603000,
0501603030,Barangay VII,barangay,0501603000,
0501603031,Barangay VIII,barangay,0501603000,
0501603032,San Isidro,barangay,0501603000,
0501604000,San Lorenzo Ruiz,municipality,0501600000,
0501604001,Daculang Bolo,barangay,0501604000,
0501604002,Dagotdotan,barangay,0501604000,
0501604003,Langga,barangay,0501604000,
0501604004,Laniton,barangay,0501604000,
0501604005,Maisog,barangay,0501604000,
0501604006,Mampurog,barangay,0501604000,
0501604007,Manlimonsito,barangay,0501604000,
0501604008,Matacong,barangay,0501604000,
0501604009,Salvacion,barangay,0501604000,
0501604010,San Antonio,barangay,0501604000,
0501604011,San Isidro,barangay,0501604000,
0501604012,San Ramon,barangay,0501604000,
0501605000,Jose Panganiban,municipality,0501600000,
0501605001,Bagong Bayan,barangay,0501605000,
0501605002,Calero,barangay,0501605000,
0501605003,Dahican,barangay,0501605000,
0501605004,Dayhagan,barangay,0501605000,
0501605005,Larap,barangay,0501605000,
0501605006,Luklukan Norte,barangay,0501605000,
0501605007,Luklukan Sur,barangay,0501605000,
0501605008,Motherlode,barangay,0501605000,
0501605009,Nakalaya,barangay,0501605000,
0501605010,Osmeña,barangay,0501605000,
0501605011,Pag-Asa,barangay,0501605000,
0501605012,Parang,barangay,0501605000,
0501605013,Plaridel,barangay,0501605000,
0501605014,North Poblacion,barangay,0501605000,
0501605015,South Poblacion,barangay,0501605000,
0501605016,Salvacion,barangay,0501605000,
0501605017,San Isidro,barangay,0501605000,
0501605018,San Jose,barangay,0501605000,
0501605019,San Martin,barangay,0501605000,
0501605020,San Pedro,barangay,0501605000,
0501605021,San Rafael,barangay,0501605000,
0501605022,Santa Cruz,barangay,0501605000,
0501605023,Santa Elena,barangay,0501605000,
0501605024,Santa Milagrosa,barangay,0501605000,
0501605025,Santa Rosa Norte,barangay,0501605000,
0501605026,Santa Rosa Sur,barangay,0501605000,
0501605027,Tamisan,barangay,0501605000,
0501606000,Labo,municipality,0501600000,
0501606001,Anameam,barangay,0501606000,
0501606002,Awitan,barangay,0501606000,
0501606003,Baay,barangay,0501606000,
0501606004,Bagacay,barangay,0501606000,
0501606005,Bagong Silang I,barangay,0501606000,
0501606006,Bagong Silang II,barangay,0501606000,
0501606007,Bakiad,barangay,0501606000,
0501606008,Bautista,barangay,0501606000,
0501606009,Bayabas,barangay,0501606000,
